SourcesPerBlock,TargetsPerBlock,TargetBlocksPerKernel,SmallClusterSize,iter0,iter1,iter2,iter3,iter4,iter5,iter6,iter7,iter8,iter9
7,1000,1000,10000,1.03477,0.964976,0.942734,0.936166,0.942528,0.931968,,,,
7,1000,1000,100000,1.03233,0.960941,0.947973,0.93588,0.947393,0.937483,,,,
7,1000,10000,1000,1.03959,0.960528,0.951341,0.939874,0.944157,0.932964,,,,
7,1000,10000,10000,1.06717,0.962233,0.944889,0.938651,0.936453,0.936758,,,,
7,1000,10000,100000,1.03206,0.967431,0.943118,0.933888,0.944792,0.932387,,,,
7,1000,65535,1000,1.03446,0.961314,0.944281,0.939004,0.941472,0.933716,,,,
7,1000,65535,10000,1.0262,0.961494,0.94802,0.940126,0.938162,0.931039,,,,
7,1000,65535,100000,1.03455,0.962433,0.947331,0.93951,0.944504,0.932532,,,,
7,10000,100,1000,1.22148,1.06713,1.0179,1.00113,1.00077,0.995089,,,,
7,10000,100,10000,1.17645,1.06702,1.0214,0.99239,0.994469,1.00288,,,,
7,10000,100,100000,1.18406,1.05497,1.02605,0.994221,1.00196,0.995692,,,,
7,10000,1000,1000,1.18424,1.05542,1.02664,0.993443,0.997341,0.993025,,,,
7,10000,1000,10000,1.18798,1.06814,1.02498,1.00151,0.997473,0.999053,,,,
7,10000,1000,100000,1.21687,1.06791,1.01379,0.99656,1.00125,1.00008,,,,
7,10000,10000,1000,1.19839,1.0678,1.01249,0.992084,0.994346,0.994586,,,,
7,10000,10000,10000,1.18053,1.06738,1.01442,0.992019,0.996136,1.00351,,,,
7,10000,10000,100000,1.18269,1.05524,1.01617,0.994066,1.00112,0.996357,,,,
7,10000,65535,1000,1.17666,1.06754,1.01586,0.991652,1.00256,0.989471,,,,
7,10000,65535,10000,1.1992,1.06716,1.02184,0.9922,0.994128,1.00205,,,,
7,10000,65535,100000,1.18299,1.0558,1.02146,0.992925,0.996953,0.986255,,,,
7,20000,100,1000,1.18309,1.06707,1.02078,0.990532,0.994754,0.997194,,,,
7,20000,100,10000,1.20127,1.05462,1.01656,0.996184,0.997874,0.997428,,,,
7,20000,100,100000,1.19442,1.06738,1.02663,0.993422,0.993635,1.00149,,,,
7,20000,1000,1000,1.21903,1.06727,1.02318,0.992002,1.00077,1.01049,,,,
7,20000,1000,10000,1.17887,1.0589,1.02002,0.998975,0.999035,1.00225,,,,
7,20000,1000,100000,1.18116,1.0557,1.02331,0.994837,0.998232,0.998342,,,,
7,20000,10000,1000,1.20842,1.06731,1.01703,0.99413,0.994573,0.999127,,,,
7,20000,10000,10000,1.19999,1.06738,1.01777,0.990049,1.00126,0.990976,,,,
7,20000,10000,100000,1.2235,1.0677,1.02624,0.990657,0.99651,0.990369,,,,
7,20000,65535,1000,1.19086,1.06692,1.02631,0.9954,0.992934,0.997646,,,,
7,20000,65535,10000,1.18136,1.06784,1.01671,0.994785,0.999065,0.993019,,,,
7,20000,65535,100000,1.18009,1.06774,1.02029,0.994099,0.996555,1.00203,,,,
